id,seasonNumber,name,series_id
294178,1,Season 1,20539
5149,1,Season 1,1813
5147,2,Season 2,1813
5148,3,Season 3,1813
351190,1,Season 1,12628
9862,1,Season 1,3121
9863,2,Season 2,3121
5134,1,Season 1,1808
18176,1,Season 1,8130
121952,1,Season 1,10906
121953,2,Season 2,10906
121954,3,Season 3,10906
19981,1,Season 1,10050
19982,2,Season 2,10050
19980,3,Season 3,10050
14767,1,Season 1,4986
23683,1,Season 1,12773
120445,1,Season 1,15267
28637,3,Season 3,17882
19336,1,Season 1,9494
80834,1,Season 1,68149
34723,1,Season 1,24549
34724,2,Season 2,24549
34725,3,Season 3,24549
34727,6,Season 6,24549
34728,7,Season 7,24549
16266,1,Season 1,6171
89320,2,Season 2,6171
89321,3,Season 3,6171
16267,4,Season 4,6171
26582,1,Season 1,14980
319400,1,Season 1,215993
24542,1,Season 1,13519
234342,1,Season 1,152426
42543,1,Season 1,30983
17306,1,Miniseries,7096
