id,seasonNumber,name,series_id
193092,1,Season 1,124626
437702,4,Season 4,124626
876,1,Season 1,278
873,25,Season 25,278
874,26,Season 26,278
875,27,Season 27,278
313590,40,Season 40,278
173571,41,2020,278
174871,42,2021,278
313588,43,Season 43,278
4526,1,Season 1,1637
4528,2,Season 2,1637
20522,1,Season 1,10398
20523,2,Season 2,10398
39145,1,Season 1,27995
35083,1,Season 1,24873
23683,1,Season 1,12773
28637,3,Season 3,17882
38345,1,Season 1,27418
80834,1,Season 1,68149
34723,1,Season 1,24549
34724,2,Season 2,24549
34725,3,Season 3,24549
34727,6,Season 6,24549
34728,7,Season 7,24549
32506,1,Season 1,22561
26582,1,Season 1,14980
7679,1,Season 1,2438
53211,1,Season 1,44026
27453,1,Series 1,16082
319400,1,Season 1,215993
24542,1,Season 1,13519
234342,1,Season 1,152426
42543,1,Season 1,30983
17306,1,Miniseries,7096
163181,1,Season 1,110147
301176,1,Season 1,206216
215235,1,Season 1,19341
24822,1,Season 1,13716
239850,1,Season 1,10700
458480,1,Season 1,6795
18013,1,Season 1,7873
18014,2,Season 2,7873
18015,3,Season 3,7873
18016,4,Season 4,7873
392557,1,Series 1,253768
376306,1,Season 1,244797
338231,1,Season 1,225130
41771,1,Season 1,30266
172537,1,Season 1,114796
25132,1,Season 1,13905
25133,2,Season 2,13905
25134,3,Season 3,13905
22948,1,Season 1,12224
55721,1,Season 1,51247
19611,1,Season 1,9795
343309,1,Season 1,14301
65212,1,Season 1,62128
65236,2,Season 2,62128
65237,3,Season 3,62128
65238,4,Season 4,62128
65239,5,Season 5,62128
67480,6,Season 6,62128
241243,7,Season 7,62128
241244,8,Season 8,62128
241245,9,Season 9,62128
241246,10,Season 10,62128
241247,11,Season 11,62128
241248,12,Season 12,62128
241249,13,Season 13,62128
241250,14,Season 14,62128
241251,15,Season 15,62128
241252,16,Season 16,62128
241253,17,Season 17,62128
241254,18,Season 18,62128
241255,19,Season 19,62128
241256,20,Season 20,62128
241257,21,Season 21,62128
241258,22,Season 22,62128
241259,23,Season 23,62128
241260,24,Season 24,62128
241261,25,Season 25,62128
241262,26,Season 26,62128
241263,27,Season 27,62128
241264,28,Season 28,62128
241265,29,Season 29,62128
241411,30,Season 30,62128
294852,31,Season 31,62128
306247,32,Season 32,62128
326120,33,Season 33,62128
338611,34,Season 34,62128
358896,35,Season 35,62128
374051,36,Season 36,62128
396451,37,Season 37,62128
434905,38,Season 38,62128
449932,39,Season 39,62128
467135,40,Season 40,62128
79365,1,Season 1,67479
89341,2,Season 2,67479
325852,3,Season 3,67479
64502,1,Season 1,61872
64503,2,Season 2,61872
50340,1,Season 1,38745
164070,1,Season 1,110639
304802,2,Season 2,110639
294169,1,Season 1,202241
97097,1,Season 1,75964
97098,2,Season 2,75964
114678,3,Season 3,75964
122646,4,Season 4,75964
140428,5,Season 5,75964
178083,6,Season 6,75964
218248,7,Season 7,75964
336171,8,Season 8,75964
133389,1,Season 1,94174
95530,1,Season 1,75174
125383,1,Season 1,59017
111002,1,Season 1,83191
293850,1,Season 1,202043
163640,1,Season 1,110392
83367,1,Season 1,69372
212443,1,Season 1,134481
219872,1,Season 1,138832
317652,1,Season 1,51452
392841,1,Season 1,253941
348900,1,Season 1,230657
163673,1,Season 1,110414
140085,1,Season 1,97370
185567,1,Season 1,120605
185568,2,Season 2,120605
288708,1,Season 1,198184
452596,1,Season 1,289394
210559,1,Season 1,133365
294180,1,Season 1,202249
194436,1,Season 1,125336
431232,1,Season 1,278468
177471,1,Season 1,117098
75523,1,Season 1,65973
431570,1,Season 1,278604
212819,1,Season 1,134777
291691,1,Season 1,200813
199327,1,Season 1,127605
89075,1,Season 1,72093
89076,2,Season 2,72093
89078,1,Season 1,72095
99941,2,Season 2,72095
197968,1,Season 1,126889
74549,1,Season 1,65595
99072,2,Season 2,65595
99073,3,Season 3,65595
314343,1,Season 1,213313
156446,1,Season 1,106035
156447,2,Season 2,106035
156448,3,Season 3,106035
